scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Pedicularis rainierensis,2024-08-15 10:18:26 -0700,,"Mount Rainier National Park, Enumclaw, WA, US",46.9193935868,-121.5843102321,,Mount Rainier lousewort,https://www.inaturalist.org/observations/236821058,https://inaturalist-open-data.s3.amazonaws.com/photos/421373986/medium.jpeg,steinm,236821058,Mount Rainier lousewort,Plantae,146989,1,0,2024-08-15 10:18:26-07:00,2024-08-15,2024-08-15 17:18:26 UTC,Pacific Time (US & Canada),1,1,,open,false,,,4155577,Michael Stein,2024-08-20 00:06:31 UTC,2024-08-20 17:11:41 UTC,research,CC-BY-NC,NA,3,false
Pedicularis rainierensis,2024-08-13 10:29:18 -0700,,"Mount Rainier National Park, Carbonado, WA, US",46.9216466667,-121.82097,,Mount Rainier lousewort,https://www.inaturalist.org/observations/236722189,https://inaturalist-open-data.s3.amazonaws.com/photos/421182840/medium.jpeg,erik_erts,236722189,Pedicularis rainierensis,Plantae,146989,1,0,2024-08-13 10:29:18-07:00,2024-08-13,2024-08-13 17:29:18 UTC,Pacific Time (US & Canada),4,4,,open,false,,,4736320,,2024-08-19 14:20:56 UTC,2024-08-20 17:10:33 UTC,research,CC-BY-NC,NA,3,false
Pedicularis rainierensis,2024-08-09 12:56:00 -0700,,"Pierce County, WA, USA",46.9225166667,-121.8314527778,,Mount Rainier lousewort,https://www.inaturalist.org/observations/234967203,https://inaturalist-open-data.s3.amazonaws.com/photos/417798549/medium.jpeg,jhorthos,234967203,Mount Rainier lousewort,Plantae,146989,1,0,2024/08/09 12:56 PM,2024-08-09,2024-08-09 19:56:00 UTC,Pacific Time (US & Canada),5,5,,open,false,,,1094975,James H. Thomas,2024-08-10 21:11:32 UTC,2025-01-24 22:41:23 UTC,research,CC0,NA,NA,false
Pedicularis rainierensis,2024-08-09 12:02:00 -0700,Leaves much less deeply divided than P. contorta. Still in flower at higher elevations.,"Pierce County, WA, USA",46.92215,-121.8359305556,,Mount Rainier lousewort,https://www.inaturalist.org/observations/234921736,https://inaturalist-open-data.s3.amazonaws.com/photos/417710756/medium.jpeg,jhorthos,234921736,Mount Rainier lousewort,Plantae,146989,1,0,2024/08/09 12:02 PM,2024-08-09,2024-08-09 19:02:00 UTC,Pacific Time (US & Canada),5,5,,open,false,,,1094975,James H. Thomas,2024-08-10 17:35:57 UTC,2024-08-11 16:52:19 UTC,research,CC0,NA,NA,false
Pedicularis rainierensis,2024-07-31 12:32:34 -0700,,"Mount Rainier, Mount Rainier National Park, Pierce County, US-WA, US",46.9223976,-121.83417549,,Mount Rainier lousewort,https://www.inaturalist.org/observations/233086726,https://inaturalist-open-data.s3.amazonaws.com/photos/414194135/medium.jpeg,mylodon,233086726,Mount Rainier lousewort,Plantae,146989,1,0,2024-07-31 12:32:34,2024-07-31,2024-07-31 19:32:34 UTC,Pacific Time (US & Canada),7,7,,,false,,,3352889,,2024-08-01 13:44:49 UTC,2024-08-01 23:06:43 UTC,research,CC-BY-NC,NA,2,false
Pedicularis rainierensis,2024-07-31 12:23:10 -0700,,"Mount Rainier, Mount Rainier National Park, Pierce County, US-WA, US",46.92076699,-121.83773364,,Mount Rainier lousewort,https://www.inaturalist.org/observations/233086625,https://inaturalist-open-data.s3.amazonaws.com/photos/414193997/medium.jpeg,mylodon,233086625,Mount Rainier lousewort,Plantae,146989,1,0,2024-07-31 12:23:10,2024-07-31,2024-07-31 19:23:10 UTC,Pacific Time (US & Canada),8,8,,open,false,,,3352889,,2024-08-01 13:44:22 UTC,2024-08-08 21:24:46 UTC,research,CC-BY-NC,NA,2,false
Pedicularis rainierensis,2024-07-31 12:15:58 -0700,,"Mount Rainier, Mount Rainier National Park, Pierce County, US-WA, US",46.91898767,-121.83960888,,Mount Rainier lousewort,https://www.inaturalist.org/observations/233086598,https://inaturalist-open-data.s3.amazonaws.com/photos/414193947/medium.jpeg,mylodon,233086598,Mount Rainier lousewort,Plantae,146989,1,0,2024-07-31 12:15:58,2024-07-31,2024-07-31 19:15:58 UTC,Pacific Time (US & Canada),8,8,,open,false,,,3352889,,2024-08-01 13:44:10 UTC,2024-08-08 21:25:13 UTC,research,CC-BY-NC,NA,2,false
Pedicularis rainierensis,2024-07-21 13:26:39 -0700,,"Mount Rainier National Park, Carbonado, WA, US",46.9189716667,-121.84012,,Mount Rainier lousewort,https://www.inaturalist.org/observations/231554541,https://static.inaturalist.org/photos/411279423/medium.jpeg,empidonax_wrightii,231554541,Mount Rainier lousewort,Plantae,146989,1,0,2024-07-21 13:26:39-07:00,2024-07-21,2024-07-21 20:26:39 UTC,Pacific Time (US & Canada),4,4,,open,false,,,393173,Charles Wright,2024-07-25 04:35:08 UTC,2024-08-08 22:12:14 UTC,research,,NA,3,false
Pedicularis rainierensis,2024-07-12 15:29:01 -0700,,"Mount Rainier, Mount Rainier National Park, Pierce County, US-WA, US",46.9408633333,-121.59852,,Mount Rainier lousewort,https://www.inaturalist.org/observations/228934835,https://inaturalist-open-data.s3.amazonaws.com/photos/411380028/medium.jpeg,leahrubin,228934835,Mount Rainier lousewort,Plantae,146989,1,0,2024-07-12 15:29:01-07:00,2024-07-12,2024-07-12 22:29:01 UTC,Pacific Time (US & Canada),4,4,,,false,,,1982632,Leah Rubin,2024-07-13 01:02:47 UTC,2024-07-25 13:09:26 UTC,research,CC-BY-NC,NA,3,false
Pedicularis rainierensis,2023-07-20 08:03:03 -0700,,"Mount Rainier National Park, Ashford, WA, US",46.9513633333,-121.5915366667,,Mount Rainier lousewort,https://www.inaturalist.org/observations/174033670,https://inaturalist-open-data.s3.amazonaws.com/photos/302298302/medium.jpg,jareddodson,174033670,Mount Rainier lousewort,Plantae,146989,1,0,2023-07-20 08:03:03-07:00,2023-07-20,2023-07-20 15:03:03 UTC,Pacific Time (US & Canada),21,21,,,false,,,3448676,,2023-07-21 01:39:01 UTC,2023-08-12 20:35:29 UTC,research,CC-BY-NC,NA,3,false
